sight_name, sight_type, state, country, city, lng, lat, score, views, description, happiness_index, angry, depress, fear, happy, sad, surprise, neutral
凯旋门,,欧洲,法国,巴黎,2.2950111,48.8737972,,,"巴黎12条大街都以凯旋门为中心，向四周放射，气势磅礴，为欧洲大城市的设计典范。凯旋门高49.54米，宽44.82米，厚22.21米，中心拱门高36.6米，宽14.6米。在凯旋门两面门墩的墙面上，有4组以战争为题材的大型浮雕：“出征”、“胜利”、“和平”和“抵抗”；其中有些人物雕塑还高达五六米。凯旋门的四周都有门，门内刻有跟随拿破仑远征的386名将军和96场胜战的名字，门上刻有1792年至1815年间的法国战事史。凯旋门的拱门上可以乘电梯或登石梯上去，石梯共284阶，上去后第一站有一个小型的历史博物馆，里面陈列著有关凯旋门的各种历史文物以及拿破仑生平事迹的图片和法国的各种勋章、奖章。另外，还有两间配有法语解说的电影放映室，专门放映一些反映巴黎历史变迁的资料片。再往上走，就到了凯旋门的顶部平台，从这里可以鸟瞰巴黎名胜。

凯旋门的正下方，是1920年11月11日建造的无名烈士墓，墓是平的，地上嵌著红色的墓志“这里安息的是为国牺牲的法国军人。”据说，墓中长眠的是在第一次世界大战中牺牲的一位无名战士，他代表着在大战中死难的150万法国官兵。墓前有一盏明灯，每天晚上，这里都会点起不灭的火焰。每逢节日，就有一面10多米长的法国国旗从拱门顶端直垂下来，在无名烈士墓上空招展飘扬。",-55.42,15.06,0,17.17,22.29,30.72,2.11,12.65
科罗拉多大峡谷,,北美洲,美国,,,,,,顶着酷日走在巨大的岩拱旁，穿过干燥的树丛，听风声鼓荡，有种真切的踏实感。窗口区是大型岩拱集中处，几个名牌拱都在明信片上频频亮相。其中的双拱(DoubleArch)由两个漂亮的拱洞叠邻构成，从前方透视象连环套，优雅之至。游人在下面蚁动，才比照出它有那么高！数哩外的纤拱(DelicateArch)玲珑地独立岩坡，可谓名声大矣，犹他州车牌上的图象就是用的它。步行一英里去看风景线拱(LandscapeArch)，它是世界最大的岩拱之一，飞跨100米，高三、四十米，顶部只有几尺薄了，随时可能坍塌。资料上写：“你见证着一个岩拱的垂暮，下次来访时它也许就不存在了。”抬头再看一眼，觉得不是夸张。岩拱的生命是由风霜雨雪在山体上造成小坑洼而开始的，接着透穿成洞，扩大，最后崩落化为尘土。新岩拱诞生，老岩拱消亡，时光就在眼前流动着。　科普知识做得生动有趣是北美自然景区的一个特点，岩拱公园也不例外。有的说明牌让游客面对某个景观，很大胆地绘形绘色，说这儿原是个山体，后来变成巨大的岩拱，自然母亲又把它夷为平地。故事配着示意图，虚线实线描出上亿年的历史，而眼前地貌的确支持着那故事。这大山厚地，竟都一层层剥蚀掉了！,30.71,9.29,0,5.71,65.36,10.36,0.71,8.57
卡纳克神庙,,,,,,,,,"卡纳克（Karnak）神庙是底比斯最为古老的庙宇，在尼罗河东岸的卢克索镇北4千米处，该神庙经很长时间陆续建造起来，由砖墙隔成三部分。其中中间的部分保存得最完好，也是面积最大的一部分，占地约有30公顷，也是献给太阳神阿蒙的；左侧的是献给Montu神的，占地2.5公顷；另一个是献给阿蒙神的妻子——形为秃鹫的姆特女神，现在尚未发掘。
在卡纳克神庙的周围有孔斯神庙和其他小神庙，每个宗教季节仪式从卡纳克神庙开始，到卢克索神庙结束。二者之间有一条一公里长的石板大道，两侧密排着圣羊像，路面夹杂着一些包着金箔或银箔的石板，闪闪发光。",0,0,0,12.5,50,0,12.5,25
库克山,,,,,43.5957472,170.1410417,,,"库克山公园（MountCookNationalPark）位于南岛中西部，坐落在南阿尔卑斯山景色壮丽的中段，是一个狭长的公园，公园长达64公里，最窄处只有20公里，占地7万公顷。南起阿瑟隘口，西界迈因岭。这座公园也是蒂瓦希普纳默(Te Wahipounamu)至南西部地区世界自然遗产保护区的一部份，具有公认的自然保护价值。
园内1/3地区终年积雪，冰川覆盖，雪峰起伏，有15座3000米以上的高峰。其中库克山雄踞中间，海拔3764米，是全国最高峰，也是大洋洲第二高峰，有“新西兰屋脊”之称。西部和1070米以上高坡，寸草不生，但见玄黑岩石，交错于冰雪之中，山间多冰川、瀑布。西侧是胡克大冰川。东边是塔斯曼大冰川，长29公里，阔达3.2公里，是世界上最长的冰川之一。",-43.48,13.04,0,19.57,28.26,23.91,0,15.22
林肯纪念堂,,,,,38.889306,77.050111,,,一座大理石的林肯雕像放置在纪念馆正中央，他的手安放于椅子扶手两边，神情肃穆。雕像上方是一句题词──“林肯将永垂不朽，永存人民心里”。林肯纪念馆不仅是对这位已故总统的称颂，同时也是对整个国家人民的称颂。在这里保存着美国最不朽的雕像之一。 林肯的葛底斯堡演说和他第二次就职演讲词也刻在大理石墙上。馆内36条圆柱代表林肯总统逝世时美国所划分的36个州。 沿着纪念馆的阶梯往上走，绕过林肯雕像背面，你所能看到的就是美国国会大厦和华盛顿纪念塔的壮观景色。 在池中还隐约透着华盛顿纪念塔的倒影。,-24,14,0,12,38,22,0,14
罗托鲁阿,,,新西兰,,-38.1378,?176.2514,,,"罗托鲁阿市是新西兰毛利族特拉瓦(Te Arawa）部落中心。除了令人惊讶的火山口、高山和湖泊景观外，罗托鲁阿还有美丽的英国都德式建筑和园林。在城市周围还有新西兰最肥沃的土地。
罗托鲁阿
罗托鲁阿
在18世纪，罗托鲁阿便成为了新西兰旅游业的发祥地。人们从世界各地来到这里欣赏一种由火山喷发而形成的粉红与白色相间的熔岩台地地貌。这种地貌是由于二氧化硅喷流进火山湖里所形成的。在当地的蒂阿拉瓦人曾经是这种景象的导游。",-9.82,4.91,0,7.59,45.09,18.75,1.34,22.32
莱茵河,,欧洲,,,,,,,早在200年前，德国浪漫主义时期的诗人和思想家们就被莱茵河的魅力所倾倒，为她奉献了无数美丽的诗篇，因此有“200年莱茵浪漫”一说。公元1802年，克莱门斯·冯·布伦塔诺和后来成为他的连襟的阿希姆·冯·阿尔尼姆共同进行了一次莱茵文学之旅，沿途收集两岸民谣和传说，日后整理成民间诗集“魔术号角”，其中有著名的“魔女罗蕾莱”。罗蕾莱（Loreley），德国著名诗人海涅诗歌的神话传说故事中的女妖。这段河段弯多水急，往来的船只经常出事。相传这是因为有个美丽的女妖罗蕾莱用她甜美的歌声使得船夫神迷的原因。河道旁有披着长发的罗蕾莱的雕像。二十多年后，通过浪漫主义诗人海涅之笔罗蕾莱成为了莱茵河浪漫的象征。十九世纪英国最伟大的风景画家，印象派先锋威廉·特耐尔曾于公元1817年带着素描本从科隆一路画到美因茨。,3.12,1.56,0,9.38,51.56,15.62,0,21.88
洛基山国家公园,,北美洲,美国,,40.33333,105.70889,,,"横跨卑诗省与阿尔伯塔省的落基山脉，有许多国家公园散布其间。长年积雪的山峰、充满了幽深与宁静的湖泊，地球上最出名的山脉景致集中在加拿大落基山公园群的七个系列公园中。一提起加拿大人们就会联想到白雪皑皑的山峰和城堡式的饭店。每年位阿尔伯塔省和卑诗省的这七个保护区要接待九百多万游客。
落基山区曾经经历强烈的冰川作用，冰川侵蚀而成的地貌，如角峰、冰斗、U形谷等分布广泛。在海拔较高的峰峦有现代冰川。落基山地形类型繁多，如冰川、瀑布、峡谷、温泉等千姿百态。落基山脉的大部分山峰在海拔4000米以上，最高峰埃尔伯特山海拔4399米。这些高峰的山顶终年积雪，在阳光下闪闪发光，景色壮丽。在高度较低的山坡上，遍布茂密的针叶林，松、杉、柏巍然耸立。山间谷地宽广，溪流清澈，山水交映。",-2.88,4.32,0,7,48.56,20.16,1.85,18.11
马丘比丘遗址,,拉丁美洲,秘鲁,,,,,,"最大的印加帝国遗迹，探访不一样的高原文明，感受睡梦中的马丘
马丘比丘徒步
马丘比丘徒步
比丘；马丘比丘经历了繁华也经历过衰落，而马丘比丘的古遗迹还依然矗立，而很多热爱户外旅游的人用脚步追随着古人的遗迹欣赏着历经千年还依然存在的遗迹。酷旅行印加古道徒步线路的出发点KM82站在安第斯山脉的脚下, 怀着激动、兴奋和敬畏的复杂心情，跟随着我们的资深向导，沿着乌鲁班巴河两岸，向着印加古道前进，一直徒步到位于维拉班穆巴营地，欣赏到Llactapata古遗址。",7.2,7.1,0,8.12,53.6,19.1,0.65,11.44
密西西比河,,,,,,,,,与南美洲的亚马逊河、非洲的尼罗河和中国的长江同称为世界四大长河。美丽富饶的密西西比河发源于美国西部偏北的落基山北段的群山峻岭之中，迤迤千里，曲折蜿蜒，由北向南纵贯美国大平原，注入墨西哥湾，全长3950千米。但是，它比最大的支流密苏里河还短418千米。根据河源唯远的原则，把密苏里河的长度，加上从密苏里河汇入密西西比河河口以下的长度，则密西西比河长6262千米，是北美大陆上流程最远，流域面积最广、水量最大的水系。,-7.14,3.57,0,21.43,46.43,21.43,0,7.14
